# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
1.2, 0.0319375, 0.200813, 0.0493333, 0.545002, 0.0590105, -0.0234925, -0.016836, -0.0557901, -0.750415, -0.049792, -0.337115, -0.945397, -0.11683, -0.341489, -0.909274, -1.59064, -1.09454, -0.905617, -1.34338, -1.1756, -1.32672, -1.66582, -1.9568, -1.85905, -1.99617, -2.10104, -2.16444, -2.24844, -2.44421, -2.27155, -2.21381
1.22, 0.0319375, 0.553713, 0.582642, 0.425702, 0.345947, -0.0419522, -0.154177, -0.553529, -0.120083, -0.110703, -0.316818, -0.585449, -1.18046, -1.01243, -1.28388, -1.16721, -1.10321, -1.55685, -1.83094, -1.26861, -1.50034, -1.71958, -1.55034, -1.7748, -2.2205, -2.36158, -2.198, -2.01489, -2.4634, -2.45446, -2.4427
1.24, 0.0319375, -0.44535, -0.104386, 0.741699, -0.194483, 0.316974, 0.380199, -0.0082124, 0.0710497, -0.370292, -0.642128, -0.540197, -0.426414, -0.669611, -0.528534, -1.39077, -1.25583, -1.27558, -1.20785, -1.43316, -1.23037, -1.07328, -1.62979, -1.60257, -1.48576, -1.35106, -1.80952, -1.86425, -1.69079, -2.14547, -2.06313
1.26, 0.0319375, 0.362687, 0.0323629, 0.449437, 0.151433, -0.227005, -0.0669064, -0.141514, -0.315188, -0.151354, -0.0475624, -0.384633, -0.909436, -1.1644, -0.77562, -0.688291, -1.25797, -1.11513, -1.35068, -1.46181, -1.70458, -1.23851, -1.22432, -1.48147, -1.45276, -1.9053, -1.95527, -1.92579, -1.81136, -2.12577, -2.20651
1.28, 0.0319375, 0.0661706, 0.28414, -0.600755, -0.425563, -0.459843, -0.0888237, -0.218799, 0.421216, -0.32515, -1.07154, -0.413674, -0.542157, -0.840207, -0.650484, -1.40015, -1.28835, -1.30059, -1.66501, -1.6503, -1.32318, -1.31974, -1.59888, -1.63217, -1.43133, -1.83168, -2.11046, -2.11985, -2.10539, -2.12496, -2.09854
1.3, 0.0319376, 1.01373, 0.98365, 0.659178, 0.191647, -0.614543, -0.2072, -0.615279, -0.780891, -0.344123, -0.345785, -0.445841, -0.37295, -0.957032, -0.862714, -1.67478, -1.07562, -1.11016, -1.22242, -1.13028, -1.34977, -1.51679, -1.62217, -1.87734, -1.65486, -1.89199, -2.18942, -2.21195, -2.0816, -2.1053, -2.15969
1.32, 0.0319375, 0.495006, -0.0280276, -0.816577, -0.176747, -0.357744, -1.33913, -0.256525, 0.225373, -0.888604, -0.946219, -0.660955, -0.834866, -0.850803, -0.883746, -1.1686, -1.03854, -1.60712, -1.81131, -1.46266, -1.50163, -1.29048, -1.31591, -1.36299, -1.70293, -1.95412, -1.87645, -2.07416, -2.14146, -2.27104, -2.04859
1.34, 0.0319375, -0.397605, 0.543452, 0.250203, -0.355527, -0.329448, 0.0884556, 0.139128, -0.375288, -0.00876977, 0.0512273, -0.0549297, -0.457795, -1.06539, -1.15642, -1.18275, -0.633362, -1.04874, -1.24292, -1.4967, -1.23481, -1.19202, -1.64026, -1.48708, -1.56684, -2.0456, -1.90176, -2.40258, -2.23543, -2.32583, -2.30164
1.36, 0.0319375, 0.784736, 0.0959427, 0.796257, 0.0238848, 0.397811, -0.470356, 0.0868961, 0.414643, -0.439427, -0.149039, 0.948442, -0.0948955, -0.431477, -0.577532, -0.952752, -1.32285, -1.45987, -1.21599, -1.01804, -1.07329, -1.42904, -1.94167, -1.42439, -1.48285, -1.59328, -1.75993, -2.11223, -2.44532, -2.12967, -1.94902
1.38, 0.0319375, -0.354051, -0.0168463, 0.664083, 0.0050109, -0.137449, -0.178257, -0.514436, -0.212369, -0.49821, -0.579258, -0.130882, 0.870108, -0.542818, -0.813548, -1.39437, -0.878964, -0.745183, -1.64734, -1.01779, -1.57176, -1.2475, -1.61399, -1.32286, -1.91367, -1.79487, -1.76629, -1.97033, -2.08228, -2.15822, -2.18621
